"name","email","website","field"
"Kampfsportverein Dortmund","info@kampfsportverein-dortmund.de","https://www.kampfsportverein-dortmund.de/","Kampfsportverein Sport"
"Kampfsportverein Leipzig","info@kampfsportverein-leipzig.de","https://www.kampfsportverein-leipzig.de/","Kampfsportverein Sport"
"Kampfsportverein Bremen","info@kampfsportverein-bremen.de","https://www.kampfsportverein-bremen.de/","Kampfsportverein Sport"
"Tanzsportverein Berlin","info@tanzsportverein-berlin.de","https://www.tanzsportverein-berlin.de/","Tanzsportverein Sport"
"Tanzsportverein Hamburg","info@tanzsportverein-hamburg.de","https://www.tanzsportverein-hamburg.de/","Tanzsportverein Sport"
"Tanzsportverein München","info@tanzsportverein-muenchen.de","https://www.tanzsportverein-muenchen.de/","Tanzsportverein Sport"
"Tanzsportverein Frankfurt","info@tanzsportverein-frankfurt.de","https://www.tanzsportverein-frankfurt.de/","Tanzsportverein Sport"
"Tanzsportverein Köln","info@tanzsportverein-koeln.de","https://www.tanzsportverein-koeln.de/","Tanzsportverein Sport"
"Tanzsportverein Stuttgart","info@tanzsportverein-stuttgart.de","https://www.tanzsportverein-stuttgart.de/","Tanzsportverein Sport"
"Tanzsportverein Düsseldorf","info@tanzsportverein-duesseldorf.de","https://www.tanzsportverein-duesseldorf.de/","Tanzsportverein Sport"
"Tanzsportverein Dortmund","info@tanzsportverein-dortmund.de","https://www.tanzsportverein-dortmund.de/","Tanzsportverein Sport"
"Tanzsportverein Leipzig","info@tanzsportverein-leipzig.de","https://www.tanzsportverein-leipzig.de/","Tanzsportverein Sport"
"Tanzsportverein Bremen","info@tanzsportverein-bremen.de","https://www.tanzsportverein-bremen.de/","Tanzsportverein Sport"
"Turnverein Berlin","info@turnverein-berlin.de","https://www.turnverein-berlin.de/","Turnverein Sport"
"Turnverein Hamburg","info@turnverein-hamburg.de","https://www.turnverein-hamburg.de/","Turnverein Sport"
"Turnverein München","info@turnverein-muenchen.de","https://www.turnverein-muenchen.de/","Turnverein Sport"
"Turnverein Frankfurt","info@turnverein-frankfurt.de","https://www.turnverein-frankfurt.de/","Turnverein Sport"
"Turnverein Köln","info@turnverein-koeln.de","https://www.turnverein-koeln.de/","Turnverein Sport"
"Turnverein Stuttgart","info@turnverein-stuttgart.de","https://www.turnverein-stuttgart.de/","Turnverein Sport"
"Turnverein Düsseldorf","info@turnverein-duesseldorf.de","https://www.turnverein-duesseldorf.de/","Turnverein Sport"
"Turnverein Dortmund","info@turnverein-dortmund.de","https://www.turnverein-dortmund.de/","Turnverein Sport"
"Turnverein Leipzig","info@turnverein-leipzig.de","https://www.turnverein-leipzig.de/","Turnverein Sport"
"Turnverein Bremen","info@turnverein-bremen.de","https://www.turnverein-bremen.de/","Turnverein Sport"
"Hundesportverein Berlin","info@hundesportverein-berlin.de","https://www.hundesportverein-berlin.de/","Hundesportverein Sport"
"Hundesportverein Hamburg","info@hundesportverein-hamburg.de","https://www.hundesportverein-hamburg.de/","Hundesportverein Sport"
"Hundesportverein München","info@hundesportverein-muenchen.de","https://www.hundesportverein-muenchen.de/","Hundesportverein Sport"
"Hundesportverein Frankfurt","info@hundesportverein-frankfurt.de","https://www.hundesportverein-frankfurt.de/","Hundesportverein Sport"
"Hundesportverein Köln","info@hundesportverein-koeln.de","https://www.hundesportverein-koeln.de/","Hundesportverein Sport"
"Hundesportverein Stuttgart","info@hundesportverein-stuttgart.de","https://www.hundesportverein-stuttgart.de/","Hundesportverein Sport"
"Hundesportverein Düsseldorf","info@hundesportverein-duesseldorf.de","https://www.hundesportverein-duesseldorf.de/","Hundesportverein Sport"
"Hundesportverein Dortmund","info@hundesportverein-dortmund.de","https://www.hundesportverein-dortmund.de/","Hundesportverein Sport"
"Hundesportverein Leipzig","info@hundesportverein-leipzig.de","https://www.hundesportverein-leipzig.de/","Hundesportverein Sport"
"Hundesportverein Bremen","info@hundesportverein-bremen.de","https://www.hundesportverein-bremen.de/","Hundesportverein Sport"
"Angelverein Berlin","info@angelverein-berlin.de","https://www.angelverein-berlin.de/","Angelverein Sport"
"Angelverein Hamburg","info@angelverein-hamburg.de","https://www.angelverein-hamburg.de/","Angelverein Sport"
"Angelverein München","info@angelverein-muenchen.de","https://www.angelverein-muenchen.de/","Angelverein Sport"
"Angelverein Frankfurt","info@angelverein-frankfurt.de","https://www.angelverein-frankfurt.de/","Angelverein Sport"
"Angelverein Köln","info@angelverein-koeln.de","https://www.angelverein-koeln.de/","Angelverein Sport"
"Angelverein Stuttgart","info@angelverein-stuttgart.de","https://www.angelverein-stuttgart.de/","Angelverein Sport"
"Angelverein Düsseldorf","info@angelverein-duesseldorf.de","https://www.angelverein-duesseldorf.de/","Angelverein Sport"
"Angelverein Dortmund","info@angelverein-dortmund.de","https://www.angelverein-dortmund.de/","Angelverein Sport"
"Angelverein Leipzig","info@angelverein-leipzig.de","https://www.angelverein-leipzig.de/","Angelverein Sport"
"Angelverein Bremen","info@angelverein-bremen.de","https://www.angelverein-bremen.de/","Angelverein Sport"
"Modelleisenbahnverein Berlin","info@modelleisenbahnverein-berlin.de","https://www.modelleisenbahnverein-berlin.de/","Modelleisenbahnverein Hobby"
"Modelleisenbahnverein Hamburg","info@modelleisenbahnverein-hamburg.de","https://www.modelleisenbahnverein-hamburg.de/","Modelleisenbahnverein Hobby"
"Modelleisenbahnverein München","info@modelleisenbahnverein-muenchen.de","https://www.modelleisenbahnverein-muenchen.de/","Modelleisenbahnverein Hobby"
"Modelleisenbahnverein Frankfurt","info@modelleisenbahnverein-frankfurt.de","https://www.modelleisenbahnverein-frankfurt.de/","Modelleisenbahnverein Hobby"
"Modelleisenbahnverein Köln","info@modelleisenbahnverein-koeln.de","https://www.modelleisenbahnverein-koeln.de/","Modelleisenbahnverein Hobby"
"Modelleisenbahnverein Stuttgart","info@modelleisenbahnverein-stuttgart.de","https://www.modelleisenbahnverein-stuttgart.de/","Modelleisenbahnverein Hobby"
"Modelleisenbahnverein Düsseldorf","info@modelleisenbahnverein-duesseldorf.de","https://www.modelleisenbahnverein-duesseldorf.de/","Modelleisenbahnverein Hobby"
"Modelleisenbahnverein Dortmund","info@modelleisenbahnverein-dortmund.de","https://www.modelleisenbahnverein-dortmund.de/","Modelleisenbahnverein Hobby"
"Modelleisenbahnverein Leipzig","info@modelleisenbahnverein-leipzig.de","https://www.modelleisenbahnverein-leipzig.de/","Modelleisenbahnverein Hobby"
"Modelleisenbahnverein Bremen","info@modelleisenbahnverein-bremen.de","https://www.modelleisenbahnverein-bremen.de/","Modelleisenbahnverein Hobby"
"Philatelistenverein Berlin","info@philatelistenverein-berlin.de","https://www.philatelistenverein-berlin.de/","Philatelistenverein Hobby"
"Philatelistenverein Hamburg","info@philatelistenverein-hamburg.de","https://www.philatelistenverein-hamburg.de/","Philatelistenverein Hobby"
"Philatelistenverein München","info@philatelistenverein-muenchen.de","https://www.philatelistenverein-muenchen.de/","Philatelistenverein Hobby"
"Philatelistenverein Frankfurt","info@philatelistenverein-frankfurt.de","https://www.philatelistenverein-frankfurt.de/","Philatelistenverein Hobby"
"Philatelistenverein Köln","info@philatelistenverein-koeln.de","https://www.philatelistenverein-koeln.de/","Philatelistenverein Hobby"
"Philatelistenverein Stuttgart","info@philatelistenverein-stuttgart.de","https://www.philatelistenverein-stuttgart.de/","Philatelistenverein Hobby"
"Philatelistenverein Düsseldorf","info@philatelistenverein-duesseldorf.de","https://www.philatelistenverein-duesseldorf.de/","Philatelistenverein Hobby"
"Philatelistenverein Dortmund","info@philatelistenverein-dortmund.de","https://www.philatelistenverein-dortmund.de/","Philatelistenverein Hobby"
"Philatelistenverein Leipzig","info@philatelistenverein-leipzig.de","https://www.philatelistenverein-leipzig.de/","Philatelistenverein Hobby"
"Philatelistenverein Bremen","info@philatelistenverein-bremen.de","https://www.philatelistenverein-bremen.de/","Philatelistenverein Hobby"
"Sammlerverein Berlin","info@sammlerverein-berlin.de","https://www.sammlerverein-berlin.de/","Sammlerverein Hobby"
"Sammlerverein Hamburg","info@sammlerverein-hamburg.de","https://www.sammlerverein-hamburg.de/","Sammlerverein Hobby"
"Sammlerverein München","info@sammlerverein-muenchen.de","https://www.sammlerverein-muenchen.de/","Sammlerverein Hobby"
"Sammlerverein Frankfurt","info@sammlerverein-frankfurt.de","https://www.sammlerverein-frankfurt.de/","Sammlerverein Hobby"
"Sammlerverein Köln","info@sammlerverein-koeln.de","https://www.sammlerverein-koeln.de/","Sammlerverein Hobby"
"Sammlerverein Stuttgart","info@sammlerverein-stuttgart.de","https://www.sammlerverein-stuttgart.de/","Sammlerverein Hobby"
"Sammlerverein Düsseldorf","info@sammlerverein-duesseldorf.de","https://www.sammlerverein-duesseldorf.de/","Sammlerverein Hobby"
"Sammlerverein Dortmund","info@sammlerverein-dortmund.de","https://www.sammlerverein-dortmund.de/","Sammlerverein Hobby"
"Sammlerverein Leipzig","info@sammlerverein-leipzig.de","https://www.sammlerverein-leipzig.de/","Sammlerverein Hobby"
"Sammlerverein Bremen","info@sammlerverein-bremen.de","https://www.sammlerverein-bremen.de/","Sammlerverein Hobby"
"Tüftlerverein Berlin","info@tueftlerverein-berlin.de","https://www.tueftlerverein-berlin.de/","Tüftlerverein Hobby"
"Tüftlerverein Hamburg","info@tueftlerverein-hamburg.de","https://www.tueftlerverein-hamburg.de/","Tüftlerverein Hobby"
"Tüftlerverein München","info@tueftlerverein-muenchen.de","https://www.tueftlerverein-muenchen.de/","Tüftlerverein Hobby"
"Tüftlerverein Frankfurt","info@tueftlerverein-frankfurt.de","https://www.tueftlerverein-frankfurt.de/","Tüftlerverein Hobby"
"Tüftlerverein Köln","info@tueftlerverein-koeln.de","https://www.tueftlerverein-koeln.de/","Tüftlerverein Hobby"
"Tüftlerverein Stuttgart","info@tueftlerverein-stuttgart.de","https://www.tueftlerverein-stuttgart.de/","Tüftlerverein Hobby"
"Tüftlerverein Düsseldorf","info@tueftlerverein-duesseldorf.de","https://www.tueftlerverein-duesseldorf.de/","Tüftlerverein Hobby"
"Tüftlerverein Dortmund","info@tueftlerverein-dortmund.de","https://www.tueftlerverein-dortmund.de/","Tüftlerverein Hobby"
"Tüftlerverein Leipzig","info@tueftlerverein-leipzig.de","https://www.tueftlerverein-leipzig.de/","Tüftlerverein Hobby"
"Tüftlerverein Bremen","info@tueftlerverein-bremen.de","https://www.tueftlerverein-bremen.de/","Tüftlerverein Hobby"
"Astronomieverein Berlin","info@astronomieverein-berlin.de","https://www.astronomieverein-berlin.de/","Astronomieverein Hobby"
"Astronomieverein Hamburg","info@astronomieverein-hamburg.de","https://www.astronomieverein-hamburg.de/","Astronomieverein Hobby"
"Astronomieverein München","info@astronomieverein-muenchen.de","https://www.astronomieverein-muenchen.de/","Astronomieverein Hobby"
"Astronomieverein Frankfurt","info@astronomieverein-frankfurt.de","https://www.astronomieverein-frankfurt.de/","Astronomieverein Hobby"
"Astronomieverein Köln","info@astronomieverein-koeln.de","https://www.astronomieverein-koeln.de/","Astronomieverein Hobby"
"Astronomieverein Stuttgart","info@astronomieverein-stuttgart.de","https://www.astronomieverein-stuttgart.de/","Astronomieverein Hobby"
"Astronomieverein Düsseldorf","info@astronomieverein-duesseldorf.de","https://www.astronomieverein-duesseldorf.de/","Astronomieverein Hobby"
"Astronomieverein Dortmund","info@astronomieverein-dortmund.de","https://www.astronomieverein-dortmund.de/","Astronomieverein Hobby"
"Astronomieverein Leipzig","info@astronomieverein-leipzig.de","https://www.astronomieverein-leipzig.de/","Astronomieverein Hobby"
"Astronomieverein Bremen","info@astronomieverein-bremen.de","https://www.astronomieverein-bremen.de/","Astronomieverein Hobby"
"Bastelverein Berlin","info@bastelverein-berlin.de","https://www.bastelverein-berlin.de/","Bastelverein Hobby"
"Bastelverein Hamburg","info@bastelverein-hamburg.de","https://www.bastelverein-hamburg.de/","Bastelverein Hobby"
"Bastelverein München","info@bastelverein-muenchen.de","https://www.bastelverein-muenchen.de/","Bastelverein Hobby"
"Bastelverein Frankfurt","info@bastelverein-frankfurt.de","https://www.bastelverein-frankfurt.de/","Bastelverein Hobby"
"Bastelverein Köln","info@bastelverein-koeln.de","https://www.bastelverein-koeln.de/","Bastelverein Hobby"
"Bastelverein Stuttgart","info@bastelverein-stuttgart.de","https://www.bastelverein-stuttgart.de/","Bastelverein Hobby"
"Bastelverein Düsseldorf","info@bastelverein-duesseldorf.de","https://www.bastelverein-duesseldorf.de/","Bastelverein Hobby"
"Bastelverein Dortmund","info@bastelverein-dortmund.de","https://www.bastelverein-dortmund.de/","Bastelverein Hobby"
"Bastelverein Leipzig","info@bastelverein-leipzig.de","https://www.bastelverein-leipzig.de/","Bastelverein Hobby"
"Bastelverein Bremen","info@bastelverein-bremen.de","https://www.bastelverein-bremen.de/","Bastelverein Hobby"
"Spieleclub Berlin","info@spieleclub-berlin.de","https://www.spieleclub-berlin.de/","Spieleclub Hobby"
"Spieleclub Hamburg","info@spieleclub-hamburg.de","https://www.spieleclub-hamburg.de/","Spieleclub Hobby"
"Spieleclub München","info@spieleclub-muenchen.de","https://www.spieleclub-muenchen.de/","Spieleclub Hobby"
"Spieleclub Frankfurt","info@spieleclub-frankfurt.de","https://www.spieleclub-frankfurt.de/","Spieleclub Hobby"
"Spieleclub Köln","info@spieleclub-koeln.de","https://www.spieleclub-koeln.de/","Spieleclub Hobby"
"Spieleclub Stuttgart","info@spieleclub-stuttgart.de","https://www.spieleclub-stuttgart.de/","Spieleclub Hobby"
"Spieleclub Düsseldorf","info@spieleclub-duesseldorf.de","https://www.spieleclub-duesseldorf.de/","Spieleclub Hobby"
"Spieleclub Dortmund","info@spieleclub-dortmund.de","https://www.spieleclub-dortmund.de/","Spieleclub Hobby"
"Spieleclub Leipzig","info@spieleclub-leipzig.de","https://www.spieleclub-leipzig.de/","Spieleclub Hobby"
"Spieleclub Bremen","info@spieleclub-bremen.de","https://www.spieleclub-bremen.de/","Spieleclub Hobby"
"Brett spielclub Berlin","info@brettspielclub-berlin.de","https://www.brettspielclub-berlin.de/","Brettspielclub Hobby"
"Brett spielclub Hamburg","info@brettspielclub-hamburg.de","https://www.brettspielclub-hamburg.de/","Brettspielclub Hobby"
"Brett spielclub München","info@brettspielclub-muenchen.de","https://www.brettspielclub-muenchen.de/","Brettspielclub Hobby"
"Brett spielclub Frankfurt","info@brettspielclub-frankfurt.de","https://www.brettspielclub-frankfurt.de/","Brettspielclub Hobby"
"Brett spielclub Köln","info@brettspielclub-koeln.de","https://www.brettspielclub-koeln.de/","Brettspielclub Hobby"
"Brett spielclub Stuttgart","info@brettspielclub-stuttgart.de","https://www.brettspielclub-stuttgart.de/","Brettspielclub Hobby"
"Brett spielclub Düsseldorf","info@brettspielclub-duesseldorf.de","https://www.brettspielclub-duesseldorf.de/","Brettspielclub Hobby"
"Brett spielclub Dortmund","info@brettspielclub-dortmund.de","https://www.brettspielclub-dortmund.de/","Brettspielclub Hobby"
"Brett spielclub Leipzig","info@brettspielclub-leipzig.de","https://www.brettspielclub-leipzig.de/","Brettspielclub Hobby"
"Brett spielclub Bremen","info@brettspielclub-bremen.de","https://www.brettspielclub-bremen.de/","Brettspielclub Hobby"
"Schachclub Berlin","info@schachclub-berlin.de","https://www.schachclub-berlin.de/","Schachclub Hobby"
"Schachclub Hamburg","info@schachclub-hamburg.de","https://www.schachclub-hamburg.de/","Schachclub Hobby"
"Schachclub München","info@schachclub-muenchen.de","https://www.schachclub-muenchen.de/","Schachclub Hobby"
"Schachclub Frankfurt","info@schachclub-frankfurt.de","https://www.schachclub-frankfurt.de/","Schachclub Hobby"
"Schachclub Köln","info@schachclub-koeln.de","https://www.schachclub-koeln.de/","Schachclub Hobby"
"Schachclub Stuttgart","info@schachclub-stuttgart.de","https://www.schachclub-stuttgart.de/","Schachclub Hobby"
"Schachclub Düsseldorf","info@schachclub-duesseldorf.de","https://www.schachclub-duesseldorf.de/","Schachclub Hobby"
"Schachclub Dortmund","info@schachclub-dortmund.de","https://www.schachclub-dortmund.de/","Schachclub Hobby"
"Schachclub Leipzig","info@schachclub-leipzig.de","https://www.schachclub-leipzig.de/","Schachclub Hobby"
"Schachclub Bremen","info@schachclub-bremen.de","https://www.schachclub-bremen.de/","Schachclub Hobby"
"Jugendhaus Berlin","info@jugendhaus-berlin.de","https://www.jugendhaus-berlin.de/","Jugendhaus Soziales"
"Jugendhaus Hamburg","info@jugendhaus-hamburg.de","https://www.jugendhaus-hamburg.de/","Jugendhaus Soziales"
"Jugendhaus München","info@jugendhaus-muenchen.de","https://www.jugendhaus-muenchen.de/","Jugendhaus Soziales"
"Jugendhaus Frankfurt","info@jugendhaus-frankfurt.de","https://www.jugendhaus-frankfurt.de/","Jugendhaus Soziales"
"Jugendhaus Köln","info@jugendhaus-koeln.de","https://www.jugendhaus-koeln.de/","Jugendhaus Soziales"
"Jugendhaus Stuttgart","info@jugendhaus-stuttgart.de","https://www.jugendhaus-stuttgart.de/","Jugendhaus Soziales"
"Jugendhaus Düsseldorf","info@jugendhaus-duesseldorf.de","https://www.jugendhaus-duesseldorf.de/","Jugendhaus Soziales"
"Jugendhaus Dortmund","info@jugendhaus-dortmund.de","https://www.jugendhaus-dortmund.de/","Jugendhaus Soziales"
"Jugendhaus Leipzig","info@jugendhaus-leipzig.de","https://www.jugendhaus-leipzig.de/","Jugendhaus Soziales"
"Jugendhaus Bremen","info@jugendhaus-bremen.de","https://www.jugendhaus-bremen.de/","Jugendhaus Soziales"
"Jugendzentrum Berlin","info@jugendzentrum-berlin.de","https://www.jugendzentrum-berlin.de/","Jugendzentrum Soziales"
"Jugendzentrum Hamburg","info@jugendzentrum-hamburg.de","https://www.jugendzentrum-hamburg.de/","Jugendzentrum Soziales"
"Jugendzentrum München","info@jugendzentrum-muenchen.de","https://www.jugendzentrum-muenchen.de/","Jugendzentrum Soziales"
"Jugendzentrum Frankfurt","info@jugendzentrum-frankfurt.de","https://www.jugendzentrum-frankfurt.de/","Jugendzentrum Soziales"
"Jugendzentrum Köln","info@jugendzentrum-koeln.de","https://www.jugendzentrum-koeln.de/","Jugendzentrum Soziales"
"Jugendzentrum Stuttgart","info@jugendzentrum-stuttgart.de","https://www.jugendzentrum-stuttgart.de/","Jugendzentrum Soziales"
"Jugendzentrum Düsseldorf","info@jugendzentrum-duesseldorf.de","https://www.jugendzentrum-duesseldorf.de/","Jugendzentrum Soziales"
"Jugendzentrum Dortmund","info@jugendzentrum-dortmund.de","https://www.jugendzentrum-dortmund.de/","Jugendzentrum Soziales"
"Jugendzentrum Leipzig","info@jugendzentrum-leipzig.de","https://www.jugendzentrum-leipzig.de/","Jugendzentrum Soziales"
"Jugendzentrum Bremen","info@jugendzentrum-bremen.de","https://www.jugendzentrum-bremen.de/","Jugendzentrum Soziales"
"Kinderhaus Berlin","info@kinderhaus-berlin.de","https://www.kinderhaus-berlin.de/","Kinderhaus Soziales"
"Kinderhaus Hamburg","info@kinderhaus-hamburg.de","https://www.kinderhaus-hamburg.de/","Kinderhaus Soziales"
"Kinderhaus München","info@kinderhaus-muenchen.de","https://www.kinderhaus-muenchen.de/","Kinderhaus Soziales"
"Kinderhaus Frankfurt","info@kinderhaus-frankfurt.de","https://www.kinderhaus-frankfurt.de/","Kinderhaus Soziales"
"Kinderhaus Köln","info@kinderhaus-koeln.de","https://www.kinderhaus-koeln.de/","Kinderhaus Soziales"
"Kinderhaus Stuttgart","info@kinderhaus-stuttgart.de","https://www.kinderhaus-stuttgart.de/","Kinderhaus Soziales"
"Kinderhaus Düsseldorf","info@kinderhaus-duesseldorf.de","https://www.kinderhaus-duesseldorf.de/","Kinderhaus Soziales"
"Kinderhaus Dortmund","info@kinderhaus-dortmund.de","https://www.kinderhaus-dortmund.de/","Kinderhaus Soziales"
"Kinderhaus Leipzig","info@kinderhaus-leipzig.de","https://www.kinderhaus-leipzig.de/","Kinderhaus Soziales"
